Municipality,Bylaw Name Development Charges,Farm Exemption for Development Charges,Wording of exemption,Date Bylaw Enacted (Regional),Expiry Date,Link to DC Bylaw,Bylaw Name Stormwater,Farm Exemption for Stormwater Charges,How Stormwater Fees are Calculated,Date Bylaw Enacted2 (Regional),Expiry date2,Link to Storm Water bylaw,Bylaw Name Sute Alteration,Farm Exemption for SA,Exception Wording,Date Bylaw Enacted4 (Regional),Expiry date 4,Link to site alteration & fill bylaw,Bylaw Name LGD,Has Livestock Guardian dog Definition,LDG - Definition,Herding Dog Definition Exists,Herding Dog - Definition,LDG and HD exempt from license fees,LDG and HD Collar and tag requirements,Municipal barking restrictions,LDG and HD Exempt from barking restrictions,Dog Limit,Date Bylaw Enacted 5 (Regional),Expiry Date 5,Livestock Guardian Dog bylaw link,Bylaw Name Backyard Chicken,Can you Keep Backyard Chickens,Backyard Chicken Limit,Date Bylaw Enacted 7 (Regional),Expiry Date 7,Roosters Allowed,Licence Required,Welfare Requirements,Backyard Chicken Bylaw Link,Bylaw Name Forest Conservation,Farm Exemption - Tree Cutting Bylaw,Farming Exception Wording,Date Bylaw Enacted 6 (Regional),Expiry Date 6,Tree Cutting Bylaw Link,Municipality Has Fence Bylaw,Does the fence bylaw apply to all lands,Does the fence bylaw replace the Line Fence Act in its entirely,Farm Exemption for Security fencing prohibitions,Farm Exemption for Electrified fencing prohibitions,Equal apportionment of fencing costs between neighbours,Link to Fence Bylaw
"Haliburton, Co",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By-law No. 3505,No,,2012-08-29,,https://haliburton.civicweb.net/filepro/documents/search/?keywords=tree&amp;location=528&amp;preview=73673,NO,,,,,,
"Halton Hills, Tp",BY-LAW NO. 2022- 0042,Yes,"3. Applicable Lands(2) This By-law shall not apply to land that is owned by and used for the purposes of: (e) a Non-residential Building in connection with an Agricultural use including “farm help quarters” for farming operation workers and farm storage structures;,where “Agricultural,” is used to describe a use or Development means a use or Development that is a bona fide farming operation including, notwithstanding the generality of the foregoing, greenhouses which are not connected to Regional water and wastewater services, sod farms and breeding and boarding of horses including barns, silos and other ancillary Development to such Agricultural Development but excluding any residential, commercial, industrial, or retail Development and does not include cannabis production facilities;",2022-07-04,,https://haltonhills.ic12.esolg.ca/en/your-government/By-Laws/BY-LAW%20NO.%202022-0042.pdf,,,,,,,BY-LAW NO. 2025-0009,Yes,"This By-law does not apply to:  (d) the removal of topsoil as an incidental part of a normal farm practice taking place as part of an agricultural operation, provided that the removal is not for sale, exchange or disposal of the topsoil.  3. Permit Exemptions - Land Use – Rural – Agricultural Use Zoning 3.1. Notwithstanding Section 4.1 of this By-law, a site alteration permit is not required for a site alteration on a property zoned for an agriculture use within the Rural Area of the Town, that is undertaken in compliance with this By-law and provided the requirements below are met: (a) dumping, placing or removal of topsoil for an agricultural operation provided that the approved grade (or existing grade, where there is no approved grade) of the lands is not increased by more than 0.15m, there is no significant change in the direction or rate of drainage to or from adjacent lands; the site alteration does not take place within 0.6m of any property line, and the cumulative total of the topsoil to be placed or dumped pursuant to all applicable permit exemptions does not exceed in any consecutive six (6) month period 29m³; (b) the dredging of an existing pond on a property zoned for an agricultural use within the Rural Area, provided the surface area of the pond in not increased and the pond depth is not increased beyond its original depth and no piles or berms of dredged material is created adjacent to the pond. Where possible, the dredged material should be worked into adjacent fields without changing drainage patterns.",2025-04-01,,https://haltonhills.ic12.esolg.ca/en/your-government/By-Laws/BY-LAW%20NO.%202025-0009.pdf,BY-LAW NO. 94-077 – CONSOLIDATED,Yes,"an animal that works and/or lives with domestic farm animals (eg. Cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained to and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,No,Yes,No,,NOT KNOWN,1994-06-13,,https://haltonhills.ic12.esolg.ca/en/your-government/By-Laws/BY-LAW%20NO.%201994-077.pdf,BY-LAW NO. 94-077Responsible Pet Owners By-law,Yes,4 in urban areas,1994-06-13,,No,Yes,2;3;4;5;9,https://www.haltonhills.ca/en/residents/resources/Documents/Urban%20Hens/Responsible-Pet-Owners-By-law-94-077.pdf,,,,,,,YES,YES,NO,YES,YES,NO,https://haltonhills.ic12.esolg.ca/en/your-government/By-Laws/BY-LAW%20NO.%202002-0060.pdf
"Halton, Regional M",BY-LAW NO. 25-22,Yes,"28. Exemptions for Certain Buildings(1) THAT the following are exempt from the payment of development charges under this By-law: (viii) land and buildings that are used in connection with agricultural development, including up to 278.7 square metres (3,000 sq. ft.) for any industrial, retail or commercial component therein that is accessory to the bona fide farm operation provided that with regards to any industrial, retail or commercial component at least six months must have elapsed since the last building permit has been issued for a building containing an industrial, retail, or commercial use on the lot.",2022-05-25,,https://www.halton.ca/getmedia/dd3ab58d-e476-453d-acb6-721345b71ed3/FIN-by-law-25-22.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BY-LAW NO. 121-05,No,4. EXEMPTIONSk) Normal Farm Practices carried on as part of an agricultural operation outside the Urban Area.,2005-10-05,,https://www.halton.ca/getmedia/c43258a3-5f6a-4a4a-84a3-ebc3ea974af8/CAO-by-law-121-05.aspx,NO,,,,,,
"Hamilton, C",BY-LAW NO. 24-072,Yes,"Notwithstanding any other provision of this By-law, no Development Charges are imposed under this By-law respecting; (b) an Agricultural Use",2024-06-01,2034-06-01,https://www.hamilton.ca/sites/default/files/2024-05/24-072.pdf,,,,,,,By-law No. 19-286,Yes,Rural Area Exceptions from Permit Requirement  Minor Agricultural Application Requirements,2019-11-28,,https://www.hamilton.ca/sites/default/files/2023-05/19-286-consolidation-may2023-1.pdf,,,,,,,,,,,,,,,No,,,,,,,https://www.hamilton.ca/sites/default/files/2022-07/12-031-officeconsolidation-jun16-22.pdf,BY-LAW NO. 14-212,No,"""farm"" is defined but not used.",2014-08-15,,https://www.hamilton.ca/sites/default/files/2022-06/14-212.pdf,YES,YES,YES,YES,YES,YES,https://www.hamilton.ca/sites/default/files/2022-03/10-142_consolidated.pdf
"Hamilton, Tp",By-Law Number 2022-04,No,,2022-01-18,,https://acrobat.adobe.com/link/review?uri=urn:aaid:scds:US:e12d2911-a659-3e1e-b4ce-1dc52e8be26d,,,,,,,BY-LAW 2012-10,No,,2012-01-24,,https://acrobat.adobe.com/id/urn:aaid:sc:US:e98eb9d4-4a5b-42ee-9b86-164a9df09adf,By-law 2014-23,,,,,,,,,,,,"https://www.hamiltontownship.ca/en/resident-services/resources/BY-LAW-2014-23-ANIMAL-CONTROL-REGULATE-.pdf:~:text=%5BPDF%5D%20BY,WITHIN%20THE%20TOWNSHIP%20OF",,,,,,,,,,,,,,,,NO,,,,,,
"Hanover, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 2819-13,No,,No,,No,Yes,No,,NOT KNOWN,2013-08-12,,https://www.hanover.ca/media/369,,No,,,,,,,,Tree Canopy and Natural Vegetation Policy,No,,2019-02-19,,https://www.hanover.ca/sites/default/files/2023-10/BP-001%20Tree%20Canopy%20and%20Natural%20Vegetation.pdf,YES,YES,YES,NO,YES,YES,https://www.hanover.ca/media/1007
"Harley, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Harris, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Hastings Highlands, M",,,,,,,,,,,,,,,,,,,BYLAW 2019-098,No,,No,,,,No,,none,2019-11-20,,https://www.hastingshighlands.ca/media/ugxdmjjo/2019-098-regulating-the-keeping-of-dogs.pdf,Exotic Animals,No,,,,,,,https://www.hastingshighlands.ca/media/jhmljlzu/2021-037-exotic-animal-bylaw-amended-sep-15-2021.pdf,BYLAW 2019-024,No,,2019-02-20,,https://www.hastingshighlands.ca/media/krnkwafk/2019-024-tree-canopy-policy.pdf,YES,YES,YES,,,YES,https://www.hastingshighlands.ca/media/t4mo01fc/2016-057-line-fences-bylaw.pdf
"Hastings, Co",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Havelock-Belmont-Methuen, Tp",By-law Number 2025-043,Yes,"3.8 Other Exemptions Notwithstanding the provision of this By-law, development charges shall not be imposed with respect to:  a Farm Building.",2025-06-03,,https://www.hbmtwp.ca/media/tp2peva0/15a-by-law-2025-043-being-a-bylaw-to-establish-development-charges.pdf,,,,,,,,,,,,,By-law No. 2021 - 043,No,,No,,No,Yes,No,,NOT KNOWN,2021-07-06,,https://www.hbmtwp.ca/media/q14phzhm/2021-043-animal-control-by-law-signed.pdf,Animal Control By-law,No,,,,,,,https://www.hbmtwp.ca/media/q14phzhm/2021-043-animal-control-by-law-signed.pdf,,,,,,,NO,,,,,,
"Hawkesbury, Tp",By-law No. 16-2020,No,,2020-06-08,2025-09-01,https://www.hawkesbury.ca/images/2020/Re%CC%80glement_DC_By_law_no._16_2020-compressed.pdf,,,,,,,,,,,,,BY-LAW No 36-2020,No,,No,,No,Yes,Yes,No,,2020-06-29,,https://www.hawkesbury.ca/images/2020/36_2020_Animals.pdf,,No,,,,,,,,,,,,,,YES,YES,YES,NO,NO,NO,https://www.hawkesbury.ca/uploads/documents/Construction/By-law-N%C2%B0-35-2013-respecting-the-erection-and-maintenance-of-Fences-including-Swimming-Pool-Fences.pdf
"Head, Clara and Maria, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BY-LAW NUMBER 2019-04,No,,2019-02-21,,https://townshipsofheadclaramaria.ca/download.php?dl=YToyOntzOjI6ImlkIjtzOjM6IjQyMiI7czozOiJrZXkiO2k6NDt9,NO,,NO,,,,
"Hearst, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 91-06,No,,No,,No,Yes,Yes,No,4 (domestic dogs and cats in total),2006-11-28,,http://www.hearst.ca/wp-content/uploads/2024/02/Animal-Control-91-06-EN.pdf,Animal Control By-law,No,,,,,,,https://www.hearst.ca/wp-content/uploads/2024/02/Animal-Control-91-06-EN.pdf,BY-LAW NO. 4744,No,,2002-06-06,,https://simcoe.civicweb.net/document/17301/https://simcoe.civicweb.net/document/17301/,NO,,NO,,,,
"Highlands East, M",,,,,,,,,,,,,,,,,,,BY-LAW NO. 2005-55,No,,No,,No,Yes,Yes,No,Other,2005-10-25,,https://www.highlandseast.ca/en/resourcesGeneral/Documents/by-law_dog.pdf,,,,,,,,,,,,,,,,NO,,NO,,,,
"Hilliard, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NO,,,,
"Hilton Beach, Tp",,,,,,,,,,,,,,,,,,,BY-LAW 2020-08,No,,No,,No,Yes,Yes,No,NOT KNOWN,2020-05-13,,https://hiltonbeach.com/wp-content/uploads/2020/07/By-law-2020-08-Animal-Control.pdf,By-Law-2020-09Domestic Farm Animals &amp; Fowl By-law,No,,2020-05-13,,,,,https://hiltonbeach.com/wp-content/uploads/2020/05/By-Law-2020-09.pdf,,,,,,,NO,,NO,,,,
"Hilton, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NO,,,,
"Hornepayne, Tp",,,,,,,,,,,,,,,,,,,By-Law No. 2001,No,,No,,No,Yes,No,,none,2023-05-17,,https://www.townshipofhornepayne.ca/media/yp4kvdln/2001-animal.pdf,Animal By-law,No,,,,,,,https://www.townshipofhornepayne.ca/media/yp4kvdln/2001-animal.pdf,,,,,,,NO,,NO,,,,
"Horton, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 2014-34,No,,No,,No,Yes,Yes,No,"none10.1 There shall be no more than two (2) dogs kept, possessed or harboured at any one household with exception to the Rural Zone.",2014-06-03,,https://www.hortontownship.ca/download.php?dl=YToyOntzOjI6ImlkIjtzOjM6IjI1NiI7czozOiJrZXkiO2k6Mzt9,,No,,,,,,,https://www.hortontownship.ca/download.php?dl=YToyOntzOjI6ImlkIjtzOjM6Ijk0NSI7czozOiJrZXkiO2k6ODt9,,,,,,,NO,,NO,,,,
"Howick, Tp",,,"ACCORDING TO CLERK, NO DEVELOPMENT CHARGES IN MUNICIPALITY",,,https://howick.ca/content/departments/planning-development/howick-consolidated-zbl.pdf%0a%0ahttps:/howick.ca/content/government/2023-planning-fees.pdf,,,,,,,,0,,,,,By-law No. 52-2022,Yes,"shall mean a dog that works and/or lives with domestic farm animals (e.g. cattle, sheep, poultry) to protect them while repelling predators and is used exclusivley for that purpose",Yes,A dog that has been trained and is activley being used in a bone fide fide farming operation for the purposees of controlling livestock on the farm,No,Yes,Yes,Yes,"Section 2.2 - no more than 3 dogs for property, UNLESS they are HD's or LDG's",,,https://howick.ca/content/government/52-2022-canine-control-signed-n-certified.pdf,,No,,,,,,,,,,,,,SEE HURON COUNTY BYLAWhttp://SEE HURON COUNTY BYLAW,NO,,,,,,
"Hudson, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NO,,,,
"Huntsville, Tp",BY-LAW NUMBER 2024-130,No,,2024-12-09,,https://huntsvilleon.civicweb.net/filepro/documents/16329/?preview=90853,,,,,,,,,,,,,BY-LAW NUMBER 2021-7,No,,No,,No,Yes,No,,none,2021-01-25,,https://huntsvilleon.civicweb.net/filepro/documents/16329/?preview=16351,,,,,,,,,,,,,,,,NO,,NO,,,,
"Huron East, M",BY-LAW NUMBER 59-2021Development-Charges-By-law UPDATED 2023 RATES,Yes,"Other Exemptions/Discounts  - SEC 3.7 (iv)3.7 The following exemptions and/or discounts are applicable (iii) the erection of a temporary building without a foundation defined in the Building Code for a period not exceeding nine consecutive months; or, (iv) Bona Fide Farm Uses (v) Accessory Building",2021-11-02,2024-11-04,https://www.pertheast.ca/en/municipal-services/resources/Planning/with-updated-2023-rates-59-2021-Development-Charges-By-law---Unsigned.pdf,,No,,,,,,,,,,,By-law No. 077 of 2022,Yes,"Definition:2.17 ""Livestock Guardian Dog"" means a dog that works and/or lives with domestic farm animals(e.g. cattle, sheep, poultry) to protect them by repelling predators and is used exclusivelyfor that purpose.Limit of Animals:4.4 In a Rural area,",No,,No,Yes,Yes,No,"4.4 In a rural area, a person may harbour more than three (3) dogs at a premise without a kennel license, provided all the following conditions are met: 4.4.1. The person is keeping livestock upon the same premises, and; 4.4.2. The premises are on land that is zoned agricultural, and; 4.4.3. The dogs are licensed annually in accordance with this by-law, and; 4.4.4. The dogs are livestock guardian dogs and/or herding dogs",2022-10-18,,https://www.huroneast.com/en/my-huron-east/resources/Animal-Control/22-077---Animal-Control---Signed.pdf,,,,,,,,,,,Other,,,,SEE HURON COUNTY BYLAWhttp://SEE HURON COUNTY BYLAW,NO,,,,,,
"Huron Shores, M",,,,,,,,,,,,,,,,,,,BY-LAW 22-76,Yes,"a dog that works and/or lives with domestic farm animals (e.g. cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,No,No,No,,none4.7.1 No Person shall keep or permit in or about any dwelling unit or premises more than four (4) Dogs over twelve (12) weeks of age except where: a) the Premises consists of lands zoned and used for agricultural purposes;,2022-09-28,,https://huronshores.ca/wp-content/uploads/2023/03/22-76-Animal-Control-By-law-legal-size-paper.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Huron, Co",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BY-LAW NO. 38-2013,No,,2013-05-01,,https://www.huroncounty.ca/wp-content/uploads/2014/07/By-law38-2013.pdf,NO,,,,,,
"Huron-Kinloss, Tp",BY-LAW No. 2024 - 103,Yes,No development charge under section 3.2 is payable where the development; 2.3.9. is a bona fide non-residential farm building,2024-11-18,2034-11-18,https://www.huronkinloss.com/media/durdejsg/2024-103-development-charges-with-schedule.pdf,,,,,,,,,,,,,By-law 2017?116,No,,No,,No,Yes,Yes,Yes,"35.2 For the purposes of section 5.3, “premises” does not include rural or agricultural premises. 5.3 No person shall keep or permit to be kept on any one premises owned or occupied by them more than any combination of four animals.",2019-09-16,,https://www.huronkinloss.com/media/n3bnka0a/2017-116-animal-control-by-law.pdf,,,,,,,,,,BY-LAW 2011-85,No,,2011-08-15,,https://www.huronkinloss.com/media/5kkj3b53/tree_preservation.pdf,NO,NO,,,,,
"Ignace, Tp",,,,,,,,,,,,,,,,,,,By-law 38-2021,No,,No,,No,Yes,Yes,No,none8.1.5.2 A farm;,2021-06-21,,https://ignace.civicweb.net/filepro/documents/?preview=10138,,,,,,,,,,,,,,,,NO,,NO,,,,
"Ingersoll, Tp",By-Law 24-5323,Yes,"3.APPLICABLE LANDS(3) This by-law shall not apply to:(a) farm buildins as defined as,a Building or structure associated with and located on land devoted to the practice of farming and that is used essentially for the housing of farm equipment or livestock or the production, storage or processing of agricultural and horticultural produce or feeds and as part of or in connection with a bona fide farming operation and includes barns, silos and other buildings or structures ancillary to that farming operation, but excludes: (a) a Residential Use, with the exception of a bunk house for seasonal farm workers required for that farm operation; and (b) any Building or portion thereof used or intended to be used for any other Non-Residential Use",2024-06-10,,https://www.ingersoll.ca/media/hzdja0c0/24-5323-establish-town-wide-development-charges-for-the-town.pdf,,,,,,,,,,,,,BY-LAW NO. 01-3989,No,,No,,No,Yes,No,,No,2001-10-09,,https://www.ingersoll.ca/en/town-hall/resources/By-Laws/3989-01.pdf,BY-LAW 01-3990Regulating Animals By-law,No,,2002-01-01,,,,,https://www.ingersoll.ca/en/town-hall/resources/By-Laws/3990.01-Regulating-Animals.pdf,,,,,,,YES,YES,YES,YES,YES,YES,https://webresources.ingersoll.ca/documents/4720-13-Property-Boundary-Fence-By-law.pdf
"Innisfil, Tp",By-Law No. 096-23,Yes,AGRICULTURAL USES22. agricultural uses as well as farm buildings excluding any residential or non-residential uses shall be exempt,2023-11-08,,By-Law No. 096-23http://By-Law No. 096-23,,,,,,,BY-LAW 050-13 As Amended by By-law 045-14,No,,2014-05-21,,https://innisfil.ca/Modules/Bylaws/Bylaw/Download/72ff9de9-b84e-477e-8bf9-3314e2a5ea81,By-Law 069-22,Yes,"a dog that works and/or lives with domestic farm animals (e.g., cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,No,Yes,Yes,Yes,61.12.4 A bona fide farmer to a maximum of six (6) Herding Dogs and Livestock Guardian Dogs on an operating farm property.,2022-06-22,,https://innisfil.ca/en/living-here/resources/Documents/2022.08.15-Animal-Control-By-Law-Consolidation.pdf,,No,,,,,,,,BY-LAW NO. 4744,No,,2002-06-06,,https://simcoe.civicweb.net/document/17301/https://simcoe.civicweb.net/document/17301/,YES,YES,NO,YES,YES,NO,Consolidated Fence By-law 075-22 (Town of Innisfil)
"Iroquois Falls, Tp",,,,,,,,,,,,,,,,,,,BY.LAW NO. 3464117,No,,No,,No,Yes,No,,NOT KNOWN,2017-10-30,,https://iroquoisfalls.civicweb.net/filepro/documents/search/?keywords=animals&amp;location=108&amp;preview=7430,BY.LAW NO. 3464117Keeping of Animals By-law,Yes,4 in residential zone,2017-10-30,,No,Yes,2;3;4;9;11,https://iroquoisfalls.civicweb.net/filepro/document/7430/BL%203464-17%20Keeping%20of%20Animals.pdf,BY-LAW NO. 3537/19,No,,2019-02-25,,https://iroquoisfalls.civicweb.net/filepro/documents/search/?keywords=tree&amp;location=108&amp;preview=7378,NO,,,,,,
"James, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Jocelyn, Tp",,,TEST TEST TEST,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Johnson, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Joly, Tp",under Strong Tp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BY-LAW  2019 - 008,No,,2019-03-12,,https://www.townshipofjoly.com/uploads/2019-008%20Tree%20Canopy%20and%20Natural%20Vegetation%20Policy.pdf,NO,,,,,,
"Kapuskasing, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 4510,No,,No,,No,Yes,Yes,No,,2022-11-14,,https://kapuskasing.civicweb.net/filepro/documents/6506/?preview=65060,Animal Control,No,,,,,,,https://kapuskasing.civicweb.net/filepro/document/65060/4510%20Animal%20Control%20By-law.pdf,,,,,,,YES,YES,,,,,"https://www.kapuskasing.ca/business-building-development/building-and-renovating/fences/:~:text=The%20installation%20of%20fences%20and,law"
"Kawartha Lakes, C",By-Law 2025-139,Yes,"SECTION 5 DEVELOPMENT CHARGES EXEMPTIONS, REFUNDS AND CREDITS5.02 Discretionary Exemptions(b) an agricultural building or structure;",2025-11-18,2025-04-01,https://www.kawarthalakes.ca/media/j1raj0fy/2025-139-bylaw-to-impose-development-charges-in-the-city-of-kawartha-lakes.pdf,,,,,,,By-Law Number 2019-105,Yes,"2.0 Building and Development ExemptionsA one-time Placing or Dumping of Fill within a 100 metre radius and associated with the construction of agricultural or farm buildings or structures shall be permitted, through the issuance of a Building Permit where applicable. 3.0 Agricultural Exemptions",2019-07-16,,https://www.kawarthalakes.ca/Modules/Bylaws/Bylaw/Details/db8f2545-58b3-4620-8e16-d941f7a21417,"By-law No, 2021-04",No,,No,,No,Yes,Yes,No,none,2021-01-29,,https://www.kawarthalakes.ca/Modules/Bylaws/Bylaw/Download/435db689-0d56-4f48-a4e7-044ca9bbe09b,By-law 2021-072Regulate Animals,Yes,4 including chickens and chicks in residential,2021-07-31,,No,Yes,2;3;4,https://www.kawarthalakes.ca/Modules/Bylaws/Bylaw/Download/435db689-0d56-4f48-a4e7-044ca9bbe09b,,,,,,,YES,YES,NO,YES,YES,YES,https://www.kawarthalakes.ca/en/living-here/fences.aspx
